"ccode","cname","year","ccodealp","ccodecow","p_durable","p_polity2_onset","d_p_polity2","arch_exit_any","arch_exit_reg","arch_exit_irreg","regime_change","regime_change_year","prevrc","democratization","duration","twincrisis","twincrisis2","triplecrisis","twincrisis_any","wr_regtype","military","personal","party","wr_monarchy","gwf_regimetype","gwf_party","gwf_personal","gwf_military","gwf_monarch","gdppcgr_onset","d_gdppcgr_max","d_gdppcgr_total","d_gdppcgr","vdem_index","ers_onset","mi_onset","kaopen_onset","d_ers","d_mi","d_kaopen","ers_mi_onset","d_ers_mi","mi_kaopen_onset","d_mi_kaopen","ers_kaopen_onset","d_ers_kaopen","ers_mi_policy","mi_kaopen_policy","ers_kaopen_policy","latam","mideast","africa","asia","southeastasia","europe","exussr","time","time2"
"152","Chile","1974-1979","CHL","155","1","-7","0","0","0","0","0","","1","0","1","1","1","1","1","3","1","1","0","0","military-personal","0","0","1","0","-7.2741186009896","-14.39694","6.1780027265141","1.0296671210857","0.40648","0.027465736493468","","0","0.53033121910864","","0.41280457377434","","","","","0.9864440738383","-0.47407808387727","","","","1","0","0","0","0","0","0","1","6"
"152","Chile","1982-1985","CHL","155","9","-7","1","0","0","0","0","","0","0","9","1","1","1","1","3","1","1","0","0","military-personal","0","0","1","0","4.43684","-15.12863","-15.219550762689","-3.8048876906722","0.077428487","1","0.55686056613922","0.41280457377434","-0.93631117045879","0.29485070705414","-0.41280457377434","0.6119129366163","-0.45599881401969","0.58911748844179","0.34780395071109","0.28290132739923","0.68474613270014","0","0","1","1","0","0","0","0","0","0","1","4"
"152","Chile","1987","CHL","155","14","-6","5","0","0","0","0","","0","0","14","0","1","0","1","3","1","1","0","0","military-personal","0","0","1","0","3.93404","4.83651","4.83651","4.83651","0.085123004","0.51490879058838","0.37774729728699","0","-0.092179209","0.018016219","0","0.5526328357215","-0.047540819909197","0.61146357591733","0.012371235964467","0.73350380737704","0.047832938615572","0","0","1","1","0","0","0","0","0","0","1","1"
"152","Chile","1989","CHL","155","0","-1","9","0","0","0","1","1989","0","1","16","0","1","0","1","3","1","1","0","0","military-personal","0","0","1","0","5.47702","8.69317","8.69317","8.69317","0.129794889","0.46642684936523","0.60086381435394","0","-0.110559046","-0.031730354","0","0.37873810379114","-0.019847193444152","0.76467147480523","-0.021788350344986","0.75866168998204","0.057370464894148","0","0","1","1","0","0","0","0","0","0","1","1"
"156","China","1984","CHN","710","35","-7","0","0","0","0","0","","0","0","35","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","6.04441","10.98124","10.98124","10.98124","0.110835945","0.58604323863983","0.5","0.16480922698975","-0.294331104","0.036738038","0","0.49443032858763","-0.13731154360117","","","","","","","","0","0","0","1","0","0","0","1","1"
"156","China","1986","CHN","710","37","-7","0","0","0","0","0","","0","0","37","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","8.83283","5.12474","5.12474","5.12474","0.110835945","0.31738209724426","0.53673803806305","0.16480922698975","-0.126434505","0","0","0.36686135803318","-0.047985945300593","0.66261287706157","0","0.75660042743418","0.065608437975161","0","0","1","0","0","0","1","0","0","0","1","1"
"156","China","1989","CHN","710","40","-7","0","0","0","0","0","","0","0","40","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","5.35295","0.22674","0.22674","0.22674","0.115488814","1","0.48942995071411","0","0","-0.093445987","0","0.65890665661324","0.065124342958646","0.68815294387058","-0.064166756638209","0.48178394238805","0","1","0","0","0","0","0","1","0","0","0","1","1"
"156","China","1994","CHN","710","45","-7","0","0","0","0","0","","0","0","45","0","0","0","0","6","0","0","1","0","party-based","1","0","0","0","8.4255","8.77393","8.77393","8.77393","0.109710894","0.73172229528427","0.489825963974","0.16480922698975","0.05854255","0.082865775","0","0.55681068328185","-0.035532012401722","0.63039966219904","0.056901619781023","0.54159414266426","-0.030378457490189","0","1","0","0","0","0","1","0","0","0","1","1"
"180","Congo, Democratic Republic","1976","COD","490","","","","0","0","0","0","","0","0","16","0","1","0","1","10","0","1","0","0","personal","0","1","0","0","-7.62936","-8.3203","-8.3203","-8.3203","0.161878727","1","","0.16480922698975","-0.94066247","","0","","","","","0.402381503267","0.48812146104243","","","","0","0","1","0","0","0","0","1","1"
"180","Congo, Democratic Republic","1983","COD","490","","","","0","0","0","0","","0","0","23","1","0","0","1","10","0","1","0","0","personal","0","1","0","0","-3.20894","-1.17401","-1.17401","-1.17401","0.16417996","0.39606556296349","0.33651748299599","0.16480922698975","-0.373411445","0.054494172","-0.164809227","0.53626189057796","-0.17969966534469","0.52512699766884","0.095444843529267","0.71577059794349","0.27317028459787","0","0","1","0","0","1","0","0","0","0","1","1"
